# Model run (UTC): 2025-11-21 12:00
# Created (UTC): 2025-11-21 14:43
time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-23T13:00:00+00:00,4.0455236,156.125,3.263676,9.140625,8.1953125,6.9296875,185.77588,0.19922274,2.356589,156.25,3.25684,8.214844,185.77979,0.24169922
2025-11-23T14:00:00+00:00,6.319457,177.00021,2.9902384,9.1796875,8.34375,7.1171875,186.66107,0.50586337,3.6495578,175.625,2.946293,8.480469,186.96103,0.23339844
2025-11-23T15:00:00+00:00,8.984362,186.12506,2.843754,9.1640625,8.234375,7.0273438,186.89716,1.1816447,5.1104956,183.625,2.5878947,8.886719,187.625,0.21533203
2025-11-23T16:00:00+00:00,9.005208,180.75,2.7519572,9.109375,8.058594,6.75,186.88782,1.2734416,5.1534643,180.625,2.4394572,8.8515625,188.77505,0.2006836
2025-11-23T17:00:00+00:00,9.1152525,175.25012,2.6621134,9.0390625,7.8828125,6.5195312,186.77545,1.2949259,5.133933,177.0,2.3242228,8.738281,189.91278,0.18945312
2025-11-23T18:00:00+00:00,9.296951,170.00018,2.5722697,8.9453125,7.6953125,6.2695312,186.37738,1.3535197,5.1534643,173.5,2.1884806,8.667969,191.62738,0.17773438
2025-11-23T19:00:00+00:00,9.299318,158.50702,2.4804728,8.828125,7.5117188,6.0546875,185.5,1.3164103,5.0636206,165.0,2.1015666,8.472656,193.79901,0.16625977
2025-11-23T20:00:00+00:00,9.67687,147.38037,2.3925822,8.597656,7.3359375,5.8320312,183.88867,1.3964884,5.3409643,159.0,1.9414103,8.3671875,197.25537,0.1875
2025-11-23T21:00:00+00:00,10.378638,137.37506,2.328129,8.4140625,7.1445312,5.5976562,181.37836,1.4277384,5.3722143,153.75,1.8378947,8.214844,198.75958,0.17456055
2025-11-23T22:00:00+00:00,10.012928,131.625,2.2519572,8.269531,7.015625,5.4804688,179.37878,1.343754,5.133933,148.375,1.8076212,8.0546875,197.01022,0.16601562
2025-11-23T23:00:00+00:00,9.766032,125.50012,2.1601603,8.1640625,6.9375,5.4023438,178.13037,1.2128947,4.883933,142.50653,1.78809,7.8828125,194.85135,0.15966797
2025-11-24T00:00:00+00:00,9.631172,119.125,2.0644572,8.089844,6.875,5.3203125,177.25092,1.1035197,4.6690893,137.625,1.7451212,7.7578125,193.26996,0.15307617
2025-11-24T01:00:00+00:00,9.008699,111.87607,1.9628947,8.0390625,6.84375,5.2617188,176.87872,0.95117587,4.395652,131.0,1.7158244,7.6015625,190.93253,0.14746094
2025-11-24T02:00:00+00:00,8.554806,103.625,1.8652384,7.9960938,6.8320312,5.2265625,176.7511,0.8066446,4.0772924,124.75,1.6816447,7.46875,188.40137,0.14257812
2025-11-24T03:00:00+00:00,8.29145,94.7601,1.7832072,7.90625,6.8164062,5.1835938,176.26343,0.7050821,3.8800266,118.5,1.6367228,7.359375,186.50476,0.16723633
2025-11-24T04:00:00+00:00,8.098391,89.125,1.7109416,7.8046875,6.78125,5.1132812,175.37634,0.6347696,3.6612766,113.5,1.5888712,7.28125,184.5069,0.16113281
2025-11-24T05:00:00+00:00,7.990176,83.375,1.6464884,7.7109375,6.7460938,5.0195312,174.26328,0.578129,3.4737766,107.125,1.5410197,7.2070312,182.63828,0.15454102
2025-11-24T06:00:00+00:00,7.968323,77.375,1.5898478,7.625,6.6914062,4.888672,172.62665,0.54297274,3.2042453,100.125,1.4941447,7.1523438,180.759,0.14746094
2025-11-24T07:00:00+00:00,7.804459,75.5,1.5429728,7.5546875,6.6367188,4.767578,170.76385,0.546879,3.1456516,95.75,1.4433634,7.1367188,179.55194,0.14013672
2025-11-24T08:00:00+00:00,7.650078,73.625,1.5039103,7.4882812,6.5898438,4.6953125,168.62659,0.5175821,2.9229953,90.125,1.4111369,7.0820312,177.05322,0.13476562
