time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-20T05:00:00+00:00,6.8017797,37.25,1.062504,14.2265625,7.75,3.6601562,323.625,0.4921915,2.5206516,30.0,0.94141024,9.1796875,307.12585,0.0126953125
2025-11-20T06:00:00+00:00,6.8100777,37.25,1.0722697,14.332031,7.8203125,3.6679688,323.8751,0.49805087,2.5206516,28.625,0.94922274,9.277344,307.75098,0.012939453
2025-11-20T07:00:00+00:00,5.236919,51.87506,1.0507853,14.332031,8.1171875,3.7148438,320.0006,0.38867587,2.3644016,40.5,0.9765665,9.03125,310.25043,0.013183594
2025-11-20T08:00:00+00:00,4.952777,43.375,1.0097697,14.2734375,8.511719,3.9140625,315.37546,0.31445712,2.1886203,35.625,0.95996493,9.191406,308.87708,0.013671875
2025-11-20T09:00:00+00:00,4.9516754,37.0,0.9863321,14.175781,8.636719,4.015625,313.125,0.27734774,2.0401828,30.5,0.94629306,9.203125,308.1253,0.013916016
2025-11-20T10:00:00+00:00,4.6567717,34.87503,0.96484774,12.035156,8.609375,4.095703,311.75153,0.24805087,1.9386203,27.875,0.9326212,9.082031,307.62582,0.020507812
2025-11-20T11:00:00+00:00,3.660481,33.25,0.93359774,11.511719,8.609375,4.345703,309.75073,0.17773837,1.7745578,28.75,0.9160196,8.8671875,307.50177,0.024902344
2025-11-20T12:00:00+00:00,2.8976715,21.875,0.89648837,11.246094,8.578125,4.6367188,307.75052,0.099613376,1.4366672,21.875,0.890629,8.667969,307.0001,0.025146484
2025-11-20T13:00:00+00:00,2.6418812,352.625,0.8613321,11.0078125,8.4609375,4.783203,306.1255,0.068363376,1.2179172,354.0,0.85840243,8.503906,306.00006,0.025146484
2025-11-20T14:00:00+00:00,3.0941606,325.5,0.828129,10.730469,8.269531,4.705078,305.00076,0.095707126,1.4366672,326.125,0.8222696,8.363281,304.75012,0.024902344
2025-11-20T15:00:00+00:00,4.023185,308.0,0.8046915,10.378906,7.921875,4.21875,304.12506,0.16504306,1.7022922,311.875,0.78711337,8.1953125,303.75015,0.028564453
2025-11-20T16:00:00+00:00,4.5480876,316.125,0.8173868,10.1796875,7.1835938,3.671875,302.75027,0.296879,2.2686985,306.625,0.76172274,7.9296875,302.12524,0.024658203
2025-11-20T17:00:00+00:00,5.136105,322.5,0.87598056,10.0546875,6.3242188,3.4179688,300.50085,0.41308993,2.6964328,308.625,0.77246493,7.359375,298.00262,0.022216797
