# Model run (UTC): 2025-12-02 06:00
time_utc,s1_h,s1_p,s1_dir,s1_dirMin,s2_h,s2_p,s2_dir,s2_dirMin,s3_h,s3_p,s3_dir,s3_dirMin,s4_h,s4_p,s4_dir,s4_dirMin,s5_h,s5_p,s5_dir,s5_dirMin,s6_h,s6_p,s6_dir,s6_dirMin,s1_impact,s2_impact,s3_impact,s4_impact,s5_impact,s6_impact
2025-12-02T11:00:00+00:00,4.0,10.0,201.8,187.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.0,297.1,292.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788,0.0,0.0,0.181,0.0,0.0
2025-12-02T12:00:00+00:00,3.7,10.0,202.9,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.0,297.0,292.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.19,0.0,0.0
2025-12-02T13:00:00+00:00,3.5,10.0,203.7,188.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,296.8,292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.204,0.0,0.0
2025-12-02T14:00:00+00:00,3.2,9.0,204.7,189.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,296.7,292.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747,0.0,0.0,0.219,0.0,0.0
2025-12-02T15:00:00+00:00,3.0,9.0,205.7,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,296.5,292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731,0.0,0.0,0.234,0.0,0.0
2025-12-02T16:00:00+00:00,2.8,9.0,206.8,190.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,296.3,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717,0.0,0.0,0.246,0.0,0.0
2025-12-02T17:00:00+00:00,2.7,9.0,208.2,191.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,296.1,291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.0,0.0,0.253,0.0,0.0
2025-12-02T18:00:00+00:00,2.6,9.0,209.8,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.6,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.0,0.0,0.264,0.0,0.0
2025-12-02T19:00:00+00:00,2.4,8.0,211.6,194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.4,290.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.0,0.0,0.273,0.0,0.0
2025-12-02T20:00:00+00:00,2.3,8.0,213.5,195.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.2,290.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681,0.0,0.0,0.278,0.0,0.0
